no,Tgl_Iklan,url,harga,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,Judul,deskripsi
40,3/26/2021,https://www.rumah123.com/properti/palembang/hos8084411/,1700000000,Palembang,150,170,3,2,0,0,0,0,2200,SHM,New Listing Rumah Bagus Full Furnished di Jl. Pandita Tegal Binangun Plaju,"Rumah sangat bagus, nyaman, dan lokasi strategis, berada di jalan utama dan bebas banjir. Akses jalan besar. Cocok untuk tempat tinggal yang nyaman dan menenangkan untuk keluarga."
41,12/20/2017,https://www.rumah123.com/properti/palembang/hos3000144/,585000000,Palembang,105,50,2,2,0,0,0,0,1300,SHM,Hunian Exclusip di belakang jm Mall plaju,"jaya 6 residen perumahan exclusip di plaju, lokasi strategi"
42,11/28/2020,https://www.rumah123.com/properti/palembang/hos7609782/,700000000,Palembang,178,250,3,1,0,0,0,0,1300,SHM,Rumah di Sasana Patra Tegal Binangun Palembang,Rumah Dijual Palembang
43,3/30/2021,https://www.rumah123.com/properti/palembang/hos8098497/,2500000000,Palembang,538,608,6,4,0,0,0,0,2200,SHM,Rumah di Tepian Jalan Utama Panjaitan Plaju Palembang,Info Lanjut Segera Hubungi (Julian : 082180744445 Julizar : 082262711115) New Listing Dijual Cepat Rumah di Tepian Jalan Utama Panjaitan Plaju Palembang.
44,3/12/2021,https://www.rumah123.com/properti/palembang/hos8026009/,1300000000,Palembang,109,218,3,3,0,0,0,0,2200,SHM,Rumah Full Furnished di Komplek Le Patra Jl. Tegal Binangun Jakabaring,"Informasi Lebih Detail Hubungi : Irma Asari 085268492020. Dijual Rumah Full Furnished di Komplek Le Patra Jl. Tegal Binangun Jakabaring. Deskripsi : Rumah siap huni, nyaman, dan lokasi komplek strategis, berada di jalan utama dan bebas banjir. Akses jalan besar. Cocok untuk tempat tinggal yang nyaman dan menenangkan untuk keluarga."
45,8/12/2020,https://www.rumah123.com/properti/palembang/hos7121228/,675000000,Palembang,130,68,2,2,0,0,0,0,0,SHM,Aurora Residence Dekat LRT Palembang dan GOR Jakabaring,"Pemilik : 085215700115. Rumah di perumahan Aurora Residence di jalan tegal binangun kota palembang. LT 130m2, LB 58m2, 2KT luas, 2KM."
46,4/7/2021,https://www.rumah123.com/properti/palembang/hos8136176/,1400000000,Palembang,288,112,4,4,0,0,0,0,900,SHM,New Listing Rumah Nyaman Huni di Lr. Langgar Jl. Sekip Ujung Palembang,"Info Lanjut Hubungi Segera Rakhmat 081377971122.  New Listing Dijual Rumah Nyaman Huni di Lr. Langgar Jl. Sekip Ujung Palembang. Deskripsi : Lokasi 50m dari jalan Utama Sekip Ujung, Akses jalan 2 mobil, Bebas banjir, Dekat Pasar Sekip Ujung, Lingkungan Aman dan Nyaman, Cocok untuk Usaha, Ruko dan Tempat Tinggal Keluarga."
47,3/8/2021,https://www.rumah123.com/properti/palembang/hos8010298/,2000000000,Palembang,100,185,4,3,0,0,0,0,2200,SHM,Rumah Full Furnish di Komp. Villa Jasmine Rawasari jl. R. Soekamto Palembang,Informasi Lebih Hubungi Emil : 081271390120 Prasetia : 085267059486 Ratna : 082372117111.  Dijual Rumah Full Furnish di Komp. Villa Jasmine Rawasari jl. R. Soekamto Palembang
48,5/12/2017,https://www.rumah123.com/properti/palembang/hos2542068/,5990000000,Palembang,267,350,7,6,0,0,0,0,6600,SHM,Rumah mewah dipusat Kota satu langka Dari hotel aston,DiJual rumah mewah Beserta Isi di swadaya lokasi strategis -1 menit Dari hotel Aston -3 menit Dari ptc mall - 2 menit Dari rs hermina - 4 menit Dari POLDA Lingkungan nyaman
49,3/22/2021,https://www.rumah123.com/properti/palembang/hos8063747/,1000000000,Palembang,210,126,3,3,0,0,0,0,2200,SHM,"New Listing Townhouse 2,5 Lantai Type Mezanine di Jln Supomo Palembang","Informasi Lebih Lanjut Hubungi Alamsyah : 081218179137 Lendra : 081288535034 Rosalina : 082185895667. New Listing Dijual Townhouse 2,5 Lantai Type Mezanine di Jln Supomo Palembang"
50,3/22/2021,https://www.rumah123.com/properti/palembang/hos8063608/,1500000000,Palembang,80,210,2,3,0,0,0,0,2200,SHM,New Listing Townhouse di Komplek Taman Meteor Indah 2 Jln Supomo Palembang,Informasi Lebih Lanjut Hubungi Alamsyah : 081218179137 Lendra : 081288535034 Rosalina : 082185895667. Dijual Townhouse di Komplek Taman Meteor Indah 2 Jln Supomo Palembang
51,3/18/2021,https://www.rumah123.com/properti/palembang/hos8048803/,3000000000,Palembang,204,200,3,2,0,0,0,0,3500,SHM,New Listing 1 Unit Townhouse Full Furnish di Komplek PU Sekip Palembang,Info Lebih Lanjut Hubungi Segera Faisal : 081368994003 Ermin : 081397097058. New Listing Dijual 1 Unit Townhouse Full Furnish di Komplek PU Jl. May Salim Batubara Palembang
52,3/19/2021,https://www.rumah123.com/properti/palembang/hos8052961/,3200000000,Palembang,358,280,4,3,0,0,0,0,2200,SHM,New Listing Rumah Lokasi Strategis di Belakang RSMH Madang Palembang,Informasi Lengkap Hubungi Ratna : 082372117111 Emil : 081271390120 Prasetia : 085267059486. New Listing Dijual Rumah Lokasi Strategis di Belakang RSMH Madang Palembang
53,3/16/2021,https://www.rumah123.com/properti/palembang/hos8040186/,6980000000,Palembang,844,500,5,5,0,0,0,0,3300,SHM,New Listing Rumah Strategis Plus Kosan di Sekip Palembang,Info Lebih HUbungi Segera Zaki 081384332211 Mona 081379290820.  New Listing Jual Rumah Strategis Plus Kosan di Sekip Palembang
54,2/5/2021,https://www.rumah123.com/properti/palembang/hos7878552/,2500000000,Palembang,433,300,4,2,0,0,0,0,2200,SHM,New listing Rumah Nyaman Huni di Jalan Lomba Jaya Sekip Palembang,"Hubungi Segera Diana : 081373362152.  New listing Dijual Rumah Nyaman Huni di Jalan Lomba Jaya Sekip Palembang. Deskripsi : Rumah besar dan siap huni, Berada di lokasi strategis, Posisi Rumah bebas banjir, lingkungan Asri dan nyaman, Halaman depan luas dan masih ada sisa tanah belakang 1,5 meter, 5 menit ke PTC Mall."
